Date,SP500,AA,BA,C
8/1/14,1925.15,16.44,120.38,48.1
7/31/14,1930.67,16.39,120.48,48.91
7/30/14,1970.07,16.72,122.29,50
7/29/14,1969.95,16.91,122.32,49.42
7/28/14,1978.91,17.01,123.06,49.7
7/25/14,1978.34,16.56,123.2,50.03
7/24/14,1987.98,17,124.4,50.09
7/23/14,1987.01,17.05,126.71,50.18
7/22/14,1983.53,17.09,129.74,49.6
7/21/14,1973.63,16.62,128.3,49.35
7/18/14,1978.22,16.49,127.64,49.56
7/17/14,1958.12,16.33,125.88,49.18
7/16/14,1981.57,16.6,127.42,49.82
7/15/14,1973.28,16.12,129.1,49.29
7/14/14,1977.1,16.11,129.52,48.42
7/11/14,1967.57,15.97,128.09,47
7/10/14,1964.68,15.62,126.79,46.9
7/9/14,1972.83,15.69,126.79,47.38
7/8/14,1963.71,14.85,126.79,47.42
7/7/14,1977.65,14.74,129.09,47.98
7/3/14,1985.44,14.98,128.51,48.24
7/2/14,1974.62,14.85,127.62,48.01
7/1/14,1973.32,14.8,128.15,47.46
6/30/14,1960.23,14.89,127.23,47.1
6/27/14,1960.96,14.93,128.54,47.14
6/26/14,1957.22,14.94,128.02,47.23
6/25/14,1959.53,14.55,127.06,47.82
6/24/14,1949.98,14.47,129.15,47.81
6/23/14,1962.61,14.77,130.85,48.06
6/20/14,1962.87,14.62,132.1,47.34
6/19/14,1959.48,14.46,132.82,47.56
6/18/14,1956.98,14.64,132.48,47.93
6/17/14,1941.99,14.48,132.45,47.79
6/16/14,1937.78,14.35,132.54,47.64
6/13/14,1936.16,14.52,132.29,47.59
6/12/14,1930.11,14.01,132.19,48.27
6/11/14,1943.89,14.18,134.1,48.81
6/10/14,1950.79,14.23,137.25,49.33
6/9/14,1951.27,14.35,137.96,49.58
6/6/14,1949.44,14.35,138.25,48.93
6/5/14,1940.46,14,136.82,48.63
6/4/14,1927.88,13.82,135.33,47.88
6/3/14,1924.24,13.65,135.88,48.19
6/2/14,1924.97,13.83,135.9,47.76
5/30/14,1923.57,13.61,135.25,47.57
5/29/14,1920.03,13.58,135.14,47.28
5/28/14,1909.78,13.37,134.33,47.32
5/27/14,1911.91,13.48,134.17,47.57
5/23/14,1900.53,13.52,132.41,47.29
5/22/14,1892.49,13.23,131.84,47.14
